aspect1,frequency1,aspect0,frequency0
61.79996566666667,10034.0,61.79996566666667,6943.0
62.999965,10180.0,62.999965,6680.0
64.19996433333334,10461.0,64.19996433333334,6541.0
65.39996366666668,10760.0,65.39996366666668,6298.0
66.599963,10861.0,66.599963,6409.0
67.79996233333333,10833.0,67.79996233333333,6220.0
68.99996166666668,10695.0,68.99996166666668,6206.0
70.199961,10101.0,70.199961,6864.0
71.39996033333334,9689.0,71.39996033333334,7284.0
72.59995966666668,9848.0,72.59995966666668,7116.0
73.799959,8789.0,73.799959,8224.0
74.99995833333334,8560.0,74.99995833333334,8536.0
76.19995766666668,8953.0,76.19995766666668,8295.0
77.399957,10587.0,77.399957,6660.0
78.59995633333334,10626.0,78.59995633333334,6655.0
79.79995566666668,10730.0,79.79995566666668,6395.0
80.999955,10967.0,80.999955,6419.0
82.19995433333334,10753.0,82.19995433333334,6319.0
83.39995366666668,11087.0,83.39995366666668,6501.0
84.599953,10762.0,84.599953,6534.0
85.79995233333335,10614.0,85.79995233333335,6725.0
86.99995166666668,11135.0,86.99995166666668,6619.0
88.199951,10774.0,88.199951,6591.0
89.39995033333335,10768.0,89.39995033333335,6712.0
90.59994966666667,10819.0,90.59994966666667,6703.0
91.799949,10948.0,91.799949,6731.0
92.99994833333335,11064.0,92.99994833333335,6544.0
94.19994766666667,10997.0,94.19994766666667,6724.0
95.399947,11199.0,95.399947,6519.0
96.59994633333335,11033.0,96.59994633333335,6651.0
97.79994566666667,11100.0,97.79994566666667,6687.0
98.999945,10916.0,98.999945,6841.0
100.19994433333335,10848.0,100.19994433333335,6800.0
101.39994366666667,11327.0,101.39994366666667,6856.0
102.599943,11429.0,102.599943,6687.0
103.79994233333335,11337.0,103.79994233333335,6503.0
104.99994166666667,11641.0,104.99994166666667,6650.0
106.199941,11737.0,106.199941,6365.0
107.39994033333335,11668.0,107.39994033333335,6528.0
108.59993966666667,11885.0,108.59993966666667,6521.0
109.79993900000001,12004.0,109.79993900000001,6459.0
110.99993833333335,12014.0,110.99993833333335,6275.0
112.19993766666667,12193.0,112.19993766666667,6295.0
113.39993700000001,12327.0,113.39993700000001,6438.0
114.59993633333335,12186.0,114.59993633333335,6519.0
115.79993566666667,12367.0,115.79993566666667,6654.0
116.99993500000001,12426.0,116.99993500000001,6651.0
118.19993433333335,12591.0,118.19993433333335,6512.0
119.39993366666667,12382.0,119.39993366666667,6739.0
120.59993300000001,12443.0,120.59993300000001,6860.0
121.79993233333335,12416.0,121.79993233333335,7030.0
122.99993166666667,12561.0,122.99993166666667,6998.0
124.19993100000002,12434.0,124.19993100000002,6963.0
125.39993033333334,12835.0,125.39993033333334,7140.0
126.59992966666667,13017.0,126.59992966666667,7217.0
127.79992900000002,12788.0,127.79992900000002,7302.0
128.99992833333334,12690.0,128.99992833333334,7531.0
130.19992766666667,11668.0,130.19992766666667,8621.0
131.399927,11274.0,131.399927,9027.0
132.59992633333334,12737.0,132.59992633333334,7883.0
133.79992566666667,13157.0,133.79992566666667,7565.0
134.99992500000002,13238.0,134.99992500000002,7363.0
136.19992433333334,13412.0,136.19992433333334,7367.0
137.39992366666667,12730.0,137.39992366666667,7772.0
138.59992300000002,12834.0,138.59992300000002,7984.0
139.79992233333334,12910.0,139.79992233333334,8255.0
140.9999216666667,12585.0,140.9999216666667,8049.0
142.19992100000002,12721.0,142.19992100000002,8327.0
143.39992033333334,12815.0,143.39992033333334,8271.0
144.59991966666666,12166.0,144.59991966666666,8893.0
145.79991900000002,11252.0,145.79991900000002,9627.0
146.99991833333334,11094.0,146.99991833333334,9885.0
148.1999176666667,10820.0,148.1999176666667,10352.0
149.39991700000002,10590.0,149.39991700000002,10989.0
150.59991633333334,10360.0,150.59991633333334,10939.0
151.79991566666666,10559.0,151.79991566666666,11306.0
152.99991500000002,10327.0,152.99991500000002,11524.0
154.19991433333334,10409.0,154.19991433333334,11602.0
155.3999136666667,10409.0,155.3999136666667,11585.0
156.59991300000002,10325.0,156.59991300000002,11987.0
157.79991233333334,10008.0,157.79991233333334,12333.0
158.99991166666666,9831.0,158.99991166666666,12222.0
160.19991100000001,9713.0,160.19991100000001,12302.0
161.39991033333334,9785.0,161.39991033333334,12762.0
162.5999096666667,9113.0,162.5999096666667,13500.0
163.799909,8057.0,163.799909,14492.0
164.99990833333334,7689.0,164.99990833333334,15211.0
166.19990766666666,7749.0,166.19990766666666,15215.0
167.399907,7589.0,167.399907,15379.0
168.59990633333334,7638.0,168.59990633333334,14964.0
169.7999056666667,7894.0,169.7999056666667,14947.0
170.999905,9069.0,170.999905,13416.0
172.19990433333334,9297.0,172.19990433333334,13216.0
